epoch,mean_reward,avg_wait,r_morning,r_off,r_evening,pg_loss,v_loss
185,-2.0481481552124023,0.0,-1.865819209039548,-2.4194444444444443,-1.6666666666666667,-0.32880425453186035,485.7479248046875
186,-1.953703761100769,0.0,-1.8541666666666667,-2.1527777777777777,0,-0.08518624305725098,467.88482666015625
187,-2.040740728378296,0.0,-2.1152777777777776,-1.8916666666666666,0,-0.7039410471916199,638.930908203125
188,-2.1814815998077393,0.0,-2.143859649122807,-2.047222222222222,-2.6466666666666665,-1.3285467624664307,839.1988525390625
189,-2.0055556297302246,0.0,-1.8600746268656716,-1.886111111111111,-2.6630434782608696,0.7058155536651611,717.5541381835938
190,-2.0101852416992188,0.0,-1.8588410104011888,-2.2305555555555556,-2.4893617021276597,-0.07052316516637802,433.7657775878906
191,-1.915740728378296,0.0,-1.8041666666666667,-2.138888888888889,0,0.2026147097349167,476.9127502441406
192,-2.112036943435669,0.0,-2.165277777777778,-2.0055555555555555,0,-0.7905802130699158,611.0045166015625
193,-2.1092593669891357,0.0,-2.087108013937282,-1.9444444444444444,-2.6027397260273974,-0.7055121064186096,618.908203125
194,-1.9712963104248047,0.0,-1.8529411764705883,-1.913888888888889,-2.4545454545454546,0.3201025724411011,617.1405029296875
195,-1.9898147583007812,0.0,-1.8190883190883191,-2.3194444444444446,-2.0555555555555554,-0.2888668179512024,474.1172180175781
196,-1.8231481313705444,0.0,-1.7763888888888888,-1.9166666666666667,0,0.7594308257102966,523.9173583984375
197,-2.075000047683716,0.0,-2.1694444444444443,-1.886111111111111,0,-0.6341785788536072,583.3225708007812
198,-2.0740740299224854,0.0,-2.1215469613259668,-1.8333333333333333,-2.4180790960451977,0.381879061460495,761.9564208984375
199,-2.0055556297302246,0.0,-1.9452554744525548,-1.836111111111111,-2.552325581395349,-0.36781755089759827,531.9119262695312
200,-2.0009260177612305,0.0,-1.7972222222222223,-2.408333333333333,0,-0.25886231660842896,499.86163330078125
201,-1.9064815044403076,0.0,-1.8722222222222222,-1.975,0,0.19555112719535828,535.8956909179688
202,-2.0120370388031006,0.0,-2.0575539568345325,-1.9,-2.36,-0.2431579828262329,562.6946411132812
203,-2.0074074268341064,0.0,-1.9655797101449275,-1.8388888888888888,-2.505952380952381,0.3645082414150238,722.581787109375
204,-2.0,0.0,-1.8646362098138747,-2.0277777777777777,-2.5426356589147288,-0.22758086025714874,552.5933837890625
205,-1.9222222566604614,0.0,-1.7444444444444445,-2.2777777777777777,0,0.4116135835647583,433.7149658203125
206,-1.8583333492279053,0.0,-1.836111111111111,-1.9027777777777777,0,0.5593481659889221,406.9538269042969
207,-2.092592477798462,0.0,-2.1321044546851,-1.9111111111111112,-2.6666666666666665,-0.6282976865768433,573.9571533203125
208,-2.024074077606201,0.0,-1.9613970588235294,-1.9027777777777777,-2.465909090909091,0.5548620820045471,855.5825805664062
209,-1.9481481313705444,0.0,-1.8438003220611916,-2.063888888888889,-2.1818181818181817,-0.09881389141082764,517.8851928710938
210,-1.8472222089767456,0.0,-1.7083333333333333,-2.125,0,0.510353147983551,453.3551940917969
211,-1.9787037372589111,0.0,-2.0319444444444446,-1.8722222222222222,0,-0.3373230993747711,471.4226989746094
212,-2.084259271621704,0.0,-2.0979133226324236,-1.9916666666666667,-2.3402061855670104,-0.9872746467590332,603.1808471679688
213,-2.038888931274414,0.0,-2.0091074681238617,-1.8583333333333334,-2.5146198830409356,0.11875007301568985,718.6428833007812
214,-1.9759259223937988,0.0,-1.8158295281582952,-2.186111111111111,-2.4444444444444446,-0.2551572918891907,489.08575439453125
215,-1.940740704536438,0.0,-1.8083333333333333,-2.2055555555555557,0,-0.291894793510437,563.3572387695312
216,-1.9490740299224854,0.0,-1.9958333333333333,-1.8555555555555556,0,0.026372160762548447,504.3867492675781
217,-2.0703704357147217,0.0,-2.0322033898305083,-1.9694444444444446,-2.523076923076923,-0.9471994042396545,732.7031860351562
218,-1.9861111640930176,0.0,-1.8822463768115942,-1.9555555555555555,-2.392857142857143,0.4829469323158264,675.578857421875
219,-2.0101852416992188,0.0,-1.8373751783166905,-2.327777777777778,-2.3684210526315788,-0.07490101456642151,397.6053466796875
220,-1.8685184717178345,0.0,-1.8055555555555556,-1.9944444444444445,0,0.11336447298526764,519.184814453125
221,-2.027777671813965,0.0,-2.125698324022346,-1.8305555555555555,-2.25,-0.43538767099380493,540.0111083984375
222,-2.053703784942627,0.0,-2.028985507246377,-1.8527777777777779,-2.5654761904761907,0.26199740171432495,789.9271850585938
223,-1.9222222566604614,0.0,-1.8256410256410256,-1.8888888888888888,-2.4296296296296296,-0.05216703936457634,402.9785461425781
224,-1.9305555820465088,0.0,-1.7416666666666667,-2.308333333333333,0,-0.13587330281734467,476.184326171875
225,-1.8722221851348877,0.0,-1.886111111111111,-1.8444444444444446,0,0.32790008187294006,478.332275390625
226,-2.03425931930542,0.0,-2.060747663551402,-1.8611111111111112,-2.6153846153846154,-0.6262442469596863,605.648681640625
227,-2.0101852416992188,0.0,-1.9419237749546279,-1.863888888888889,-2.544378698224852,0.4691523611545563,757.0740966796875
228,-1.9722222089767456,0.0,-1.8406676783004552,-2.172222222222222,-2.2131147540983607,-0.28679582476615906,466.4106140136719
229,-1.9055556058883667,0.0,-1.8138888888888889,-2.088888888888889,0,0.133313849568367,461.8729248046875
230,-2.0009260177612305,0.0,-2.0166666666666666,-1.9694444444444446,0,-0.654832124710083,583.3699340820312
231,-2.0611112117767334,0.0,-2.075675675675676,-1.8472222222222223,-2.478787878787879,-0.0774555653333664,694.5338134765625
232,-1.9314814805984497,0.0,-1.8478260869565217,-1.788888888888889,-2.511904761904762,-0.04163331538438797,385.96209716796875
233,-1.9638888835906982,0.0,-1.8097222222222222,-2.272222222222222,0,-0.4062500298023224,457.68890380859375
234,-1.855555534362793,0.0,-1.8833333333333333,-1.8,0,-0.103596992790699,484.8215026855469
235,-2.112036943435669,0.0,-2.1608497723823974,-1.9111111111111112,-2.7704918032786887,-1.1880093812942505,718.935302734375
236,-2.0055556297302246,0.0,-1.9694244604316546,-1.8722222222222222,-2.4207317073170733,0.0694221705198288,676.5189819335938
237,-1.9722222089767456,0.0,-1.7863777089783281,-2.2055555555555557,-2.4594594594594597,-0.6611002683639526,501.57904052734375
238,-1.836111068725586,0.0,-1.6916666666666667,-2.125,0,-0.021305229514837265,488.3265075683594
